,residue,split,target
291,5o69.A.29,train,True
292,5o69.A.30,train,True
293,5o69.A.31,train,True
294,5o69.A.32,train,True
295,5o69.A.33,train,True
296,5o69.A.34,train,True
297,5o69.A.35,train,True
298,5o69.A.36,train,True
299,5o69.A.37,train,True
300,5o69.A.38,train,True
301,5o69.A.39,train,False
302,5o69.A.40,train,False
303,5o69.A.41,train,False
304,6ez0.A.2,test,False
305,6ez0.A.1,test,False
306,6ez0.A.3,test,False
307,6ez0.A.4,test,False
308,6ez0.A.5,test,False
309,6ez0.A.6,test,False
310,6ez0.A.7,test,False
311,6ez0.A.8,test,False
312,6ez0.A.9,test,False
313,6ez0.A.10,test,False
314,6ez0.A.11,test,False
315,6ez0.A.12,test,False
316,6ez0.A.13,test,False
317,6ez0.A.14,test,False
318,6ez0.A.15,test,False
319,6ez0.A.16,test,False
320,6ez0.A.17,test,False
321,6ez0.A.18,test,False
322,6ez0.A.19,test,False
323,6ez0.A.20,test,False
324,6ez0.A.21,test,False
325,6ez0.A.22,test,False
326,6ez0.A.23,test,False
327,6ez0.A.24,test,False
328,6ez0.A.25,test,False
329,6ez0.A.26,test,False
330,6ez0.A.27,test,False
331,1nbk.A.2,val,False
332,1nbk.A.1,val,False
333,1nbk.A.3,val,False
334,1nbk.A.4,val,False
335,1nbk.A.5,val,True
336,1nbk.A.6,val,True
337,1nbk.A.7,val,True
338,1nbk.A.8,val,True
339,1nbk.A.9,val,True
340,1nbk.A.10,val,True
341,1nbk.A.11,val,True
342,1nbk.A.12,val,True
343,1nbk.A.13,val,True
344,1nbk.A.14,val,True
345,1nbk.A.15,val,False
346,1nbk.A.16,val,False
347,1nbk.A.17,val,False
348,1nbk.A.18,val,False
349,1nbk.A.19,val,False
350,1nbk.A.20,val,False
351,1nbk.A.21,val,True
352,1nbk.A.22,val,True
353,1nbk.A.23,val,True
354,1nbk.A.24,val,True
355,1nbk.A.25,val,True
356,1nbk.A.26,val,True
357,1nbk.A.27,val,True
358,1nbk.A.28,val,True
359,1nbk.A.29,val,True
360,1nbk.A.30,val,True
361,1nbk.A.31,val,False
362,1nbk.A.32,val,False
363,1nbk.A.33,val,False
364,1nbk.A.34,val,False
365,364d.C.91,test,False
366,364d.C.90,test,False
367,364d.C.92,test,False
368,364d.C.93,test,False
369,364d.C.94,test,True
370,364d.C.95,test,True
371,364d.C.96,test,True
372,364d.C.97,test,True
373,364d.C.98,test,True
374,364d.C.99,test,True
375,364d.C.100,test,True
376,364d.C.101,test,True
377,364d.C.102,test,True
378,364d.C.103,test,True
379,364d.C.104,test,True
380,364d.C.105,test,True
381,364d.C.106,test,True
382,364d.C.107,test,True
383,364d.C.108,test,True
384,364d.C.109,test,True
385,364d.C.110,test,True
386,364d.C.111,test,True
387,364d.C.112,test,True
388,364d.C.113,test,True
389,364d.C.114,test,False
390,364d.C.115,test,False
391,364d.C.116,test,False
392,364d.C.117,test,False
393,364d.C.118,test,False
394,364d.C.119,test,False
395,364d.C.120,test,False
396,5vci.A.2,train,False
397,5vci.A.1,train,False
398,5vci.A.3,train,False
399,5vci.A.4,train,False
400,5vci.A.5,train,False
401,5vci.A.6,train,False
402,5vci.A.7,train,False
403,5vci.A.8,train,False
404,5vci.A.9,train,False
405,5vci.A.10,train,False
406,5vci.A.11,train,False
407,5vci.A.12,train,False
408,5vci.A.13,train,False
409,5vci.A.14,train,False
410,5vci.A.15,train,False
411,5vci.A.16,train,False
412,5vci.A.17,train,False
413,5vci.A.18,train,False
414,5vci.A.19,train,False
415,5vci.A.20,train,False
416,5vci.A.21,train,False
417,5vci.A.22,train,False
418,2yie.Z.59,train,False
419,2yie.Z.58,train,True
420,2yie.Z.60,train,False
421,2yie.Z.61,train,True
422,2yie.Z.62,train,True
423,2yie.Z.63,train,True
424,2yie.Z.64,train,False
425,2yie.Z.65,train,False
426,2yie.Z.66,train,True
427,2yie.Z.67,train,True
428,2yie.Z.68,train,True
429,2yie.Z.69,train,True
430,2yie.Z.70,train,False
431,2yie.Z.71,train,False
432,2yie.Z.72,train,False
433,2yie.Z.73,train,True
434,2yie.Z.74,train,True
435,2yie.Z.75,train,True
436,2yie.Z.76,train,True
437,2yie.Z.77,train,False
438,2yie.Z.78,train,False
439,2yie.Z.79,train,False
440,2yie.Z.80,train,False
441,2yie.Z.81,train,False
442,2yie.Z.82,train,True
443,2yie.Z.83,train,True
444,2yie.Z.84,train,True
445,2yie.Z.85,train,True
446,2yie.Z.86,train,True
447,2yie.Z.87,train,True
448,2yie.Z.88,train,True
449,2yie.Z.89,train,True
450,2yie.Z.90,train,True
451,2yie.Z.91,train,True
452,2yie.Z.92,train,True
453,2yie.Z.93,train,True
454,2yie.Z.94,train,True
455,2yie.Z.95,train,True
456,2yie.Z.96,train,True
457,2yie.Z.97,train,True
458,2yie.Z.98,train,True
459,2yie.Z.99,train,True
460,2yie.Z.100,train,False
461,2yie.Z.101,train,True
462,2yie.Z.102,train,False
463,2yie.Z.103,train,False
464,2yie.Z.104,train,False
465,2yie.Z.105,train,False
466,2yie.Z.106,train,False
467,2yie.Z.107,train,False
468,2yie.Z.108,train,False
469,2yie.Z.109,train,False
470,2yie.Z.110,train,False
471,2yie.Z.111,train,True
472,2yie.Z.112,train,True
473,2yie.Z.113,train,True
474,1y90.B.2,train,False
475,1y90.B.1,train,True
476,1y90.B.3,train,True
477,1y90.B.4,train,True
478,1y90.B.5,train,True
479,1y90.B.6,train,True
480,1y90.B.7,train,True
481,1y90.B.8,train,True
482,1y90.B.9,train,True
483,1y90.B.10,train,True
484,1y90.B.11,train,True
485,1y90.B.12,train,True
486,1y90.B.13,train,True
487,1y90.B.14,train,True
488,1y90.B.15,train,True
489,1y90.B.16,train,True
490,1y90.B.17,train,True
491,1y90.B.18,train,True
492,1y90.B.19,train,True
493,1y90.B.20,train,True
494,1y90.B.21,train,True
495,1y90.B.22,train,True
496,1y90.B.23,train,True
497,4f8u.B.27,test,True
498,4f8u.B.26,test,True
499,4f8u.B.28,test,True
500,4f8u.B.29,test,True
501,4f8u.B.30,test,True
502,4f8u.B.31,test,True
503,4f8u.B.32,test,True
504,4f8u.B.33,test,False
505,4f8u.B.34,test,False
506,4f8u.B.35,test,False
507,4f8u.B.36,test,False
508,4f8u.B.37,test,False
509,4f8u.B.38,test,False
510,4f8u.B.39,test,True
511,4f8u.B.40,test,True
512,4f8u.B.41,test,True
513,4f8u.B.42,test,True
514,4f8u.B.43,test,True
515,4f8u.B.44,test,True
516,4f8u.B.45,test,True
517,4f8u.B.46,test,False
518,5j02.A.2,train,True
519,5j02.A.1,train,False
520,5j02.A.3,train,True
521,5j02.A.4,train,True
522,5j02.A.5,train,True
523,5j02.A.6,train,False
524,5j02.A.7,train,True
525,5j02.A.8,train,False
526,5j02.A.9,train,True
527,5j02.A.10,train,True
528,5j02.A.11,train,True
529,5j02.A.12,train,True
530,5j02.A.13,train,True
531,5j02.A.14,train,True
532,5j02.A.15,train,False
533,5j02.A.16,train,False
534,5j02.A.17,train,False
535,5j02.A.18,train,False
536,5j02.A.19,train,True
537,5j02.A.20,train,True
538,5j02.A.21,train,True
539,5j02.A.22,train,True
540,5j02.A.23,train,False
541,5j02.A.24,train,False
542,5j02.A.25,train,True
543,5j02.A.26,train,True
544,5j02.A.27,train,True
545,5j02.A.28,train,True
546,5j02.A.29,train,True
547,5j02.A.30,train,True
548,5j02.A.31,train,True
549,5j02.A.32,train,True
550,5j02.A.33,train,True
551,5j02.A.34,train,True
552,5j02.A.35,train,True
553,5j02.A.36,train,False
554,5j02.A.37,train,False
555,5j02.A.38,train,False
556,5j02.A.39,train,True
557,5j02.A.40,train,True
558,5j02.A.41,train,True
559,5j02.A.42,train,False
560,5j02.A.43,train,False
561,5j02.A.44,train,False
562,5j02.A.45,train,True
563,5j02.A.46,train,True
564,5j02.A.47,train,True
565,5j02.A.48,train,True
566,5j02.A.49,train,False
567,5j02.A.50,train,False
568,5j02.A.51,train,False
569,5j02.A.52,train,True
570,5j02.A.53,train,False
571,5j02.A.54,train,False
572,5j02.A.55,train,False
573,5j02.A.56,train,False
574,5j02.A.57,train,False
575,5j02.A.58,train,True
576,5j02.A.59,train,True
577,5j02.A.60,train,True
578,5j02.A.61,train,True
579,5j02.A.62,train,True
580,5j02.A.63,train,False
581,5j02.A.64,train,True
582,5j02.A.65,train,True
583,5j02.A.66,train,True
584,5j02.A.67,train,True
585,5j02.A.68,train,True
586,5j02.A.69,train,True
587,5j02.A.70,train,True
588,5j02.A.71,train,True
589,5j02.A.72,train,False
590,5j02.A.73,train,False
591,5j02.A.74,train,True
592,5j02.A.75,train,True
593,5j02.A.76,train,False
594,5j02.A.77,train,True
595,5j02.A.78,train,True
596,5j02.A.79,train,True
597,5j02.A.80,train,False
598,5j02.A.81,train,False
599,5j02.A.82,train,False
600,5j02.A.85,train,True
601,5j02.A.84,train,True
602,5j02.A.86,train,False
603,5j02.A.87,train,False
604,5j02.A.88,train,True
605,5j02.A.89,train,True
606,5j02.A.90,train,True
607,5j02.A.91,train,True
608,5j02.A.92,train,True
609,5j02.A.93,train,False
610,5j02.A.94,train,False
611,5j02.A.95,train,False
612,5j02.A.96,train,True
613,5j02.A.97,train,True
614,5j02.A.98,train,True
615,5j02.A.99,train,True
616,5j02.A.100,train,False
617,5j02.A.101,train,False
618,5j02.A.102,train,False
619,5j02.A.103,train,False
620,5j02.A.104,train,True
621,5j02.A.105,train,True
622,5j02.A.106,train,True
623,5j02.A.107,train,True
624,5j02.A.108,train,True
625,5j02.A.109,train,True
626,5j02.A.110,train,True
627,5j02.A.111,train,True
628,5j02.A.112,train,True
629,5j02.A.113,train,True
630,5j02.A.114,train,True
631,5j02.A.115,train,True
632,5j02.A.116,train,True
633,5j02.A.117,train,True
634,5j02.A.118,train,True
635,5j02.A.119,train,True
636,5j02.A.120,train,True
637,5j02.A.121,train,False
638,5j02.A.122,train,False
639,5j02.A.123,train,False
640,5j02.A.124,train,False
641,5j02.A.125,train,False
642,5j02.A.126,train,False
643,5j02.A.127,train,False
644,5j02.A.128,train,False
645,5j02.A.129,train,False
646,5j02.A.130,train,True
647,5j02.A.131,train,True
648,5j02.A.132,train,True
649,5j02.A.133,train,True
650,5j02.A.134,train,True
651,5j02.A.135,train,True
652,5j02.A.136,train,True
653,5j02.A.137,train,True
654,5j02.A.138,train,True
655,5j02.A.139,train,False
656,5j02.A.140,train,True
657,5j02.A.141,train,True
658,5j02.A.142,train,True
659,5j02.A.143,train,False
660,5j02.A.144,train,True
661,5j02.A.145,train,True
662,5j02.A.146,train,True
663,5j02.A.147,train,False
664,5j02.A.148,train,False
665,5j02.A.149,train,False
666,5j02.A.150,train,False
667,5j02.A.151,train,True
668,5j02.A.152,train,False
669,5j02.A.153,train,True
670,5j02.A.154,train,True
671,5j02.A.155,train,True
672,5j02.A.156,train,True
673,5j02.A.157,train,True
674,5j02.A.158,train,False
675,5j02.A.159,train,False
676,5j02.A.160,train,False
677,5j02.A.161,train,False
678,5j02.A.162,train,False
679,5j02.A.163,train,False
680,5j02.A.164,train,False
681,5j02.A.165,train,True
682,5j02.A.166,train,True
683,5j02.A.167,train,True
684,5j02.A.168,train,True
685,5j02.A.169,train,True
686,5j02.A.170,train,True
687,5j02.A.171,train,True
688,5j02.A.172,train,True
689,5j02.A.173,train,True
690,5j02.A.174,train,True
691,5j02.A.175,train,True
692,5j02.A.176,train,True
693,5j02.A.177,train,True
694,5j02.A.178,train,True
695,5j02.A.179,train,False
696,5j02.A.180,train,True
697,5j02.A.181,train,True
698,5j02.A.182,train,True
699,5j02.A.183,train,True
700,5j02.A.184,train,True
701,5j02.A.185,train,True
702,5j02.A.186,train,True
703,5j02.A.187,train,True
704,5j02.A.188,train,True
705,5j02.A.189,train,False
706,5j02.A.190,train,True
707,5j02.A.191,train,True
708,5j02.A.192,train,True
709,5j02.A.193,train,True
710,5j02.A.194,train,True
711,5j02.A.195,train,True
712,5j02.A.196,train,False
713,5j02.A.197,train,False
714,5j02.A.198,train,False
715,5j02.A.199,train,False
716,5j02.A.200,train,False
717,5j02.A.201,train,False
718,5j02.A.202,train,False
719,5j02.A.203,train,False
720,5j02.A.204,train,False
721,5j02.A.205,train,False
722,5j02.A.206,train,False
723,5j02.A.207,train,False
724,5j02.A.208,train,False
725,5j02.A.209,train,True
726,5j02.A.210,train,False
727,5j02.A.211,train,False
728,5j02.A.212,train,False
729,5j02.A.213,train,False
730,5j02.A.214,train,False
731,5j02.A.215,train,False
732,5j02.A.216,train,False
733,5j02.A.217,train,False
734,5j02.A.218,train,False
735,5j02.A.219,train,False
736,5j02.A.220,train,True
737,5j02.A.221,train,True
738,5j02.A.222,train,True
739,5j02.A.223,train,True
740,5j02.A.224,train,True
741,5j02.A.225,train,True
742,5j02.A.226,train,True
743,5j02.A.227,train,False
744,5j02.A.228,train,True
745,5j02.A.229,train,True
746,5j02.A.230,train,True
747,5j02.A.231,train,True
748,5j02.A.232,train,True
749,5j02.A.233,train,True
750,5j02.A.234,train,False
751,5j02.A.235,train,False
752,5j02.A.236,train,True
753,5j02.A.237,train,False
754,5j02.A.238,train,True
755,5j02.A.239,train,True
756,5j02.A.240,train,True
757,5j02.A.241,train,False
758,5j02.A.242,train,False
759,5j02.A.243,train,True
760,5j02.A.244,train,True
761,5j02.A.245,train,True
762,5j02.A.246,train,True
763,5j02.A.247,train,False
764,5j02.A.248,train,True
765,5j02.A.249,train,True
766,5j02.A.250,train,True
767,5j02.A.251,train,True
768,5j02.A.252,train,False
769,5j02.A.253,train,False
770,5j02.A.254,train,False
771,5j02.A.255,train,False
772,5j02.A.256,train,False
773,5j02.A.257,train,True
774,5j02.A.258,train,True
775,5j02.A.259,train,False
776,5j02.A.260,train,False
777,5j02.A.261,train,True
778,5j02.A.262,train,True
779,5j02.A.263,train,True
780,5j02.A.264,train,True
781,5j02.A.265,train,True
782,5j02.A.266,train,True
783,5j02.A.267,train,False
784,5j02.A.268,train,False
785,5j02.A.269,train,False
786,5j02.A.270,train,False
787,5j02.A.271,train,False
788,5j02.A.272,train,False
789,5j02.A.273,train,True
790,5j02.A.274,train,True
791,5j02.A.275,train,True
792,5j02.A.276,train,True
793,5j02.A.277,train,True
794,5j02.A.278,train,False
795,5j02.A.279,train,True
796,5j02.A.280,train,False
797,5j02.A.281,train,False
798,5j02.A.282,train,True
799,5j02.A.283,train,True
800,5j02.A.284,train,True
801,5j02.A.285,train,True
802,5j02.A.286,train,True
803,5j02.A.287,train,True
804,5j02.A.288,train,False
805,5j02.A.289,train,True
806,5j02.A.290,train,True
807,5j02.A.291,train,True
808,5j02.A.292,train,False
809,5j02.A.293,train,False
810,5j02.A.294,train,False
811,5j02.A.295,train,False
812,5j02.A.296,train,False
813,5j02.A.297,train,False
814,5j02.A.298,train,False
815,5j02.A.299,train,False
816,5j02.A.300,train,False
817,5j02.A.301,train,False
818,5j02.A.302,train,False
819,5j02.A.303,train,True
820,5j02.A.304,train,True
821,5j02.A.305,train,False
822,5j02.A.306,train,False
823,5j02.A.307,train,False
824,5j02.A.308,train,False
825,5j02.A.309,train,False
826,5j02.A.310,train,False
827,5j02.A.311,train,False
828,5j02.A.312,train,False
829,5j02.A.313,train,True
830,5j02.A.314,train,True
831,5j02.A.315,train,True
832,5j02.A.316,train,True
833,5j02.A.317,train,False
834,5j02.A.318,train,False
835,5j02.A.319,train,False
836,5j02.A.320,train,False
837,5j02.A.321,train,False
838,5j02.A.322,train,False
839,5j02.A.323,train,True
840,5j02.A.324,train,True
841,5j02.A.325,train,True
842,5j02.A.326,train,True
843,5j02.A.327,train,True
844,5j02.A.328,train,True
845,5j02.A.329,train,False
846,5j02.A.330,train,False
847,5j02.A.331,train,False
848,5j02.A.332,train,False
849,5j02.A.333,train,True
850,5j02.A.334,train,True
851,5j02.A.335,train,True
852,5j02.A.336,train,True
853,5j02.A.337,train,False
854,5j02.A.338,train,False
855,5j02.A.339,train,False
856,5j02.A.340,train,False
857,5j02.A.341,train,False
858,5j02.A.342,train,False
859,5j02.A.343,train,False
860,5j02.A.344,train,False
861,5j02.A.345,train,False
862,5j02.A.346,train,False
863,5j02.A.347,train,False
864,5j02.A.348,train,False
865,5j02.A.349,train,False
866,5j02.A.350,train,False
867,5j02.A.351,train,False
868,5j02.A.352,train,False
869,5j02.A.353,train,False
870,5j02.A.354,train,True
871,5j02.A.355,train,True
872,5j02.A.356,train,True
873,5j02.A.357,train,True
874,5j02.A.358,train,True
875,5j02.A.359,train,True
876,5j02.A.360,train,True
877,5j02.A.361,train,True
878,5j02.A.362,train,True
879,5j02.A.363,train,True
880,5j02.A.364,train,True
881,5j02.A.365,train,False
882,5j02.A.366,train,False
883,5j02.A.367,train,True
884,5j02.A.368,train,True
885,5j02.A.369,train,True
886,5j02.A.370,train,True
887,5j02.A.371,train,True
888,5j02.A.372,train,True
889,5j02.A.373,train,True
890,5j02.A.374,train,True
891,5j02.A.375,train,False
892,5j02.A.376,train,True
893,5j02.A.377,train,True
894,5j02.A.378,train,True
895,5j02.A.379,train,True
896,5j02.A.380,train,True
897,5j02.A.381,train,False
898,5j02.A.382,train,False
899,5j02.A.383,train,False
900,5j02.A.384,train,False
901,5j02.A.385,train,False
902,5j02.A.386,train,False
903,5j02.A.387,train,False
904,5j02.A.388,train,True
905,5j02.A.389,train,False
906,5j02.A.390,train,False
907,5j02.A.391,train,False
908,5j02.A.392,train,False
909,5j02.A.393,train,False
910,5j02.A.394,train,False
911,5j02.A.395,train,False
912,5j02.A.396,train,False
913,5j02.A.397,train,False
914,5j02.A.398,train,False
915,5j02.A.399,train,False
916,5j02.A.400,train,False
917,5j02.A.406,train,False
918,5j02.A.405,train,False
919,5j02.A.407,train,False
920,5j02.A.408,train,False
921,5j02.A.409,train,False
922,5j02.A.410,train,False
923,5j02.A.411,train,False
924,5j02.A.412,train,False
925,5j02.A.413,train,False
926,5j02.A.414,train,False
927,5j02.A.415,train,False
928,5j02.A.416,train,False
929,5j02.A.417,train,False
930,5j02.A.418,train,False
931,5j02.A.419,train,True
932,5u3g.B.3,train,False
933,5u3g.B.2,train,True
934,5u3g.B.4,train,False
935,5u3g.B.5,train,True
936,5u3g.B.6,train,True
937,5u3g.B.7,train,True
938,5u3g.B.8,train,True
939,5u3g.B.9,train,True
940,5u3g.B.10,train,True
941,5u3g.B.11,train,True
942,5u3g.B.12,train,True
943,5u3g.B.13,train,False
944,5u3g.B.14,train,True
945,5u3g.B.15,train,False
946,5u3g.B.16,train,True
947,5u3g.B.17,train,True
948,5u3g.B.18,train,True
949,5u3g.B.19,train,True
950,5u3g.B.20,train,False
951,5u3g.B.21,train,False
952,5u3g.B.22,train,False
953,5u3g.B.23,train,False
954,5u3g.B.24,train,False
955,5u3g.B.25,train,True
956,5u3g.B.26,train,True
957,5u3g.B.27,train,True
958,5u3g.B.28,train,True
959,5u3g.B.29,train,True
960,5u3g.B.30,train,True
961,5u3g.B.31,train,True
962,5u3g.B.32,train,True
963,5u3g.B.33,train,True
964,5u3g.B.34,train,True
965,5u3g.B.35,train,True
966,5u3g.B.36,train,True
967,5u3g.B.37,train,True
968,5u3g.B.38,train,False
969,5u3g.B.39,train,True
970,5u3g.B.40,train,True
